,min,max,mean
BNB_USDT_1h_open,203.5328,783.95,452.02637383385667
BNB_USDT_1h_high,204.6067,794.0,453.8590480045675
BNB_USDT_1h_low,202.0268,775.85,450.04836590922065
BNB_USDT_1h_close,203.5328,783.95,452.0408359805881
BNB_USDT_1h_volume,7.35988,44240.97555,1073.994035642592
BTC_USDT_1h_open,24924.36,108322.46,57127.43538110191
BTC_USDT_1h_high,24974.05,109900.0,57335.73555352554
BTC_USDT_1h_low,24394.74,107794.04,56913.599273194406
BTC_USDT_1h_close,24924.36,108322.46,57130.55402740509
BTC_USDT_1h_volume,7.71836,15206.8683,610.7464834859264
DOGE_USDT_1h_open,0.05749,0.47501,0.1428643414216386
DOGE_USDT_1h_high,0.05769,0.48439,0.14398264630316873
DOGE_USDT_1h_low,0.05308,0.46817,0.1416976597202398
DOGE_USDT_1h_close,0.05749,0.47501,0.14286840422495004
DOGE_USDT_1h_volume,133963.7,842456105.9,11852626.700353984
ETH_USDT_1h_open,1418.76,4086.84,2551.2166017699114
ETH_USDT_1h_high,1426.49,4108.86,2562.161026548673
ETH_USDT_1h_low,1384.84,4062.77,2539.4133445618045
ETH_USDT_1h_close,1418.76,4086.84,2551.1907370825006
ETH_USDT_1h_volume,104.74173,641274.93233,6240.032996210105
SOL_USDT_1h_open,14.03,286.28,113.88583271481586
SOL_USDT_1h_high,14.48,295.73,114.71017356551526
SOL_USDT_1h_low,12.75,284.19,113.03262746217527
SOL_USDT_1h_close,14.03,286.28,113.89187096774194
SOL_USDT_1h_volume,790.852,1562836.337,46763.76379668855
XRP_USDT_1h_open,0.3979,3.3795,0.9181531144733085
XRP_USDT_1h_high,0.4044,3.402,0.9245969797316586
XRP_USDT_1h_low,0.3812,3.3233,0.9114552954610334
XRP_USDT_1h_close,0.3979,3.3795,0.9182463431344562
XRP_USDT_1h_volume,65315.86,281087030.6,5184643.899750499
cattle_Close LE=F,161.52499389648438,210.6750030517578,182.37236937692498
cattle_High LE=F,161.625,211.125,183.0413216301485
cattle_Low LE=F,161.1999969482422,209.5,182.11831290778383
cattle_Open LE=F,161.60000610351562,210.6999969482422,182.42020817222235
cattle_Volume LE=F,0.0,28914.0,1609.704881530117
corn_Close ZC=F,385.0,646.75,468.74962888952325
corn_High ZC=F,385.75,647.5,470.66601484441907
corn_Low ZC=F,385.0,646.0,466.7146445903511
corn_Open ZC=F,385.25,646.5,468.61567228090206
corn_Volume ZC=F,0.0,224883.0,15460.26251784185
crude_Close CL=F,55.40999984741211,94.66999816894533,75.84553281613633
crude_High CL=F,56.43999862670898,95.02999877929688,76.01178483824168
crude_Low CL=F,55.119998931884766,94.54000091552734,75.6789934742563
crude_Open CL=F,55.40999984741211,94.66000366210938,75.85132401858675
crude_Volume CL=F,0.0,307923.0,9864.976819868683
gold_Close GC=F,1828.4000244140625,3258.300048828125,2322.278526490408
gold_High GC=F,1832.0999755859373,3263.0,2324.723196293523
gold_Low GC=F,1823.5,3248.699951171875,2317.2035180503763
gold_Open GC=F,1828.4000244140625,3258.39990234375,2321.7694419292393
gold_Volume GC=F,0.0,137339.0,6234.288095917785
silver_Close SI=F,20.895000457763672,35.46500015258789,27.345555554149563
silver_High SI=F,21.02499961853028,35.494998931884766,27.39850995060787
silver_Low SI=F,20.850000381469727,35.334999084472656,27.268311288906034
silver_Open SI=F,20.89999961853028,35.459999084472656,27.339771962689905
silver_Volume SI=F,0.0,55846.0,2166.505338281473
soybeans_Close ZS=F,947.75,1498.75,1176.3934484727376
soybeans_High ZS=F,950.25,1500.5,1179.7990294033686
soybeans_Low ZS=F,947.0,1497.5,1173.0333571224664
soybeans_Open ZS=F,947.75,1499.0,1176.2653297173852
soybeans_Volume ZS=F,0.0,113429.0,9500.153582643448
wheat_Close ZW=F,496.5,774.25,593.1850556665715
wheat_High ZW=F,519.25,777.25,596.4345560947759
wheat_Low ZW=F,493.5,770.5,589.8861119040822
wheat_Open ZW=F,495.5,774.25,593.3844561804168
wheat_Volume ZW=F,0.0,58294.0,5473.269997145304
CAC_Close ^FCHI,6777.169921875,8255.1796875,7548.7180355733035
CAC_High ^FCHI,6804.759765625,8259.1904296875,7557.482903911603
CAC_Low ^FCHI,6763.759765625,8248.6796875,7540.386470385874
CAC_Open ^FCHI,6776.2099609375,8255.0703125,7549.283844929792
CAC_Volume ^FCHI,0.0,0.0,0.0
DAX_Close ^GDAXI,14635.400390625,23451.939453125,17974.901162675294
DAX_High ^GDAXI,14687.4501953125,23476.009765625,17995.090998898268
DAX_Low ^GDAXI,14630.2099609375,23427.48046875,17954.05629321073
DAX_Open ^GDAXI,14635.490234375,23446.48046875,17973.984721522178
DAX_Volume ^GDAXI,0.0,0.0,0.0
Dow_Close ^DJI,32402.7998046875,45045.609375,38585.38298735013
Dow_High ^DJI,32430.2109375,45073.62890625,38638.14291600503
Dow_Low ^DJI,32327.19921875,44991.078125,38531.2288425769
Dow_Open ^DJI,32402.80078125,45020.970703125,38585.830592750855
Dow_Volume ^DJI,0.0,219279339.0,46055912.93622609
EURO_Close ^STOXX50E,3995.25,5556.02978515625,4724.0573704124145
EURO_High ^STOXX50E,4010.409912109375,5568.18994140625,4729.553808161642
EURO_Low ^STOXX50E,3993.10009765625,5547.18017578125,4718.555906181978
EURO_Open ^STOXX50E,3994.260009765625,5556.14013671875,4724.130897149542
EURO_Volume ^STOXX50E,0.0,0.0,0.0
FTSE_Close ^FTSE,7220.81005859375,8904.76953125,7959.109374414565
FTSE_High ^FTSE,7233.93994140625,8908.759765625,7967.293766169177
FTSE_Low ^FTSE,7215.81005859375,8885.599609375,7951.782218087621
FTSE_Open ^FTSE,7220.81005859375,8904.8603515625,7959.747949776308
FTSE_Volume ^FTSE,0.0,0.0,0.0
IBOVESPA_Close ^BVSP,101305.8671875,137386.09375,123932.77997430773
IBOVESPA_High ^BVSP,101714.546875,137469.265625,124108.34928989438
IBOVESPA_Low ^BVSP,101063.4921875,137222.359375,123747.54566398445
IBOVESPA_Open ^BVSP,101256.5078125,137349.234375,123918.91186795247
IBOVESPA_Volume ^BVSP,0.0,0.0,0.0
IPC_Close ^MXX,48026.484375,58979.87109375,53461.26331537254
IPC_High ^MXX,48092.98046875,59009.12109375,53569.21137596346
IPC_Low ^MXX,47837.763671875,58674.76171875,53360.378031218774
IPC_Open ^MXX,48024.650390625,58795.615234375,53473.07908321885
IPC_Volume ^MXX,0.0,614643070.0,31862633.693833858
NASDAQ_Close ^IXIC,11800.6015625,20185.5771484375,16124.703505784104
NASDAQ_High ^IXIC,11841.5263671875,20200.125,16152.284316233407
NASDAQ_Low ^IXIC,11798.982421875,20164.7939453125,16095.228937891405
NASDAQ_Open ^IXIC,11830.2724609375,20194.298828125,16125.261853874135
NASDAQ_Volume ^IXIC,0.0,2419936000.0,481486755.16100484
Russell_Close ^RUT,1635.0376586914062,2460.078491210937,2027.336095599001
Russell_High ^RUT,1637.2720336914062,2464.4197998046875,2030.5033787933446
Russell_Low ^RUT,1633.8526000976562,2451.96484375,2024.1650665082832
Russell_Open ^RUT,1635.0323486328125,2460.0635986328125,2027.4620313343307
Russell_Volume ^RUT,0.0,0.0,0.0
S&P_Close ^GSPC,4055.170043945313,6143.9501953125,5114.372347843868
S&P_High ^GSPC,4060.8798828125,6146.775146484375,5121.778753827634
S&P_Low ^GSPC,4048.6800537109375,6136.10986328125,5106.560299131158
S&P_Open ^GSPC,4054.10009765625,6139.81494140625,5114.554383812201
S&P_Volume ^GSPC,0.0,1036168000.0,345316721.38983727
S&P_Close ^GSPTSE,18713.4248046875,25843.390625,22122.93878377685
S&P_High ^GSPTSE,18736.5390625,25869.6650390625,22143.503513450523
S&P_Low ^GSPTSE,18693.345703125,25827.5751953125,22099.240059636384
S&P_Open ^GSPTSE,18714.33984375,25844.98046875,22120.585005765148
S&P_Volume ^GSPTSE,0.0,143784569.5,23787461.644533258
VIX_Close ^VIX,11.550000190734863,59.2400016784668,16.255962870905748
VIX_High ^VIX,11.5600004196167,65.7300033569336,16.417219541496866
VIX_Low ^VIX,10.619999885559082,56.72999954223633,16.11217984916345
VIX_Open ^VIX,11.520000457763672,64.05999755859375,16.266876374412664
VIX_Volume ^VIX,0.0,0.0,0.0
funding_rate,-0.00029357,0.00112788,0.00025009066171852694
fear_gread_index,10.0,94.0,58.44070796460177
open_interest,47009.394,53193.112,51009.962285469584
google_trends_buy_crypto,12.0,100.0,25.644875820725094
google_trends_bitcoin,23.0,100.0,38.73588352840422
target_class,0.0,1.0,0.5092206679988581
target_reg,24924.36,108322.46,57128.96751113395
hour,0.0,23.0,11.497288038823866
day_of_week,1.0,7.0,4.000856408792464
month,1.0,12.0,6.52400799314873
year,2023.0,2025.0,2023.7859548958036
